Sentence	ID	表層形	原形	品詞
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"こと"	"こと"	"名詞-非自立-一般"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"が"	"が"	"助詞-格助詞-一般"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"ない"	"ない"	"形容詞-自立"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"ので"	"ので"	"助詞-接続助詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"、"	"、"	"記号-読点"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"すんなり"	"すんなり"	"副詞-助詞類接続"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"休める"	"休める"	"動詞-自立"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"と"	"と"	"助詞-接続助詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"もう"	"もう"	"副詞-一般"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"明日"	"明日"	"名詞-副詞可能"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"も"	"も"	"助詞-係助詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"明後日"	"明後日"	"名詞-副詞可能"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"も"	"も"	"助詞-係助詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"いか"	"いく"	"動詞-自立"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"なく"	"ない"	"助動詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"て"	"て"	"助詞-接続助詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"大丈夫"	"大丈夫"	"名詞-形容動詞語幹"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"な"	"だ"	"助動詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"ん"	"ん"	"名詞-非自立-一般"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"じゃ"	"じゃ"	"助詞-副助詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"ない"	"ない"	"助動詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"か"	"か"	"助詞-副助詞／並立助詞／終助詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"と"	"と"	"助詞-格助詞-引用"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"思え"	"思える"	"動詞-自立"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"て"	"て"	"助詞-接続助詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"くる"	"くる"	"動詞-非自立"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"。"	"。"	"記号-句点"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"まぁ"	"まぁ"	"感動詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"実際"	"実際"	"副詞-助詞類接続"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"、"	"、"	"記号-読点"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"そ"	"そ"	"名詞-特殊-助動詞語幹"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"ー"	"ー"	"名詞-一般"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"な"	"だ"	"助動詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"ん"	"ん"	"名詞-非自立-一般"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"だろ"	"だ"	"助動詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"う"	"う"	"助動詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"けど"	"けど"	"助詞-接続助詞"
"仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。"	183	"。"	"。"	"記号-句点"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"ここ"	"ここ"	"名詞-代名詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"数"	"数"	"名詞-数"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"日"	"日"	"名詞-接尾-助数詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"、"	"、"	"記号-読点"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"精進"	"精進"	"名詞-サ変接続"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"料理"	"料理"	"名詞-サ変接続"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"みたい"	"みたい"	"名詞-非自立-形容動詞語幹"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"な"	"だ"	"助動詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"もの"	"もの"	"名詞-非自立-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"しか"	"しか"	"助詞-係助詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"食べ"	"食べる"	"動詞-自立"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"て"	"てる"	"動詞-非自立"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"ない"	"ない"	"助動詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"ので"	"ので"	"助詞-接続助詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"、"	"、"	"記号-読点"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"串カツ"	"串カツ"	"名詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"とか"	"とか"	"助詞-並立助詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"、"	"、"	"記号-読点"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"ラザニア"	"ラザニア"	"名詞-固有名詞-組織"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"とか"	"とか"	"助詞-並立助詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"、"	"、"	"記号-読点"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"ハンバーグ"	"ハンバーグ"	"名詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"とか"	"とか"	"助詞-並立助詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"食べ"	"食べる"	"動詞-自立"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"たい"	"たい"	"助動詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"。"	"。"	"記号-句点"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"でも"	"でも"	"接続詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"多分"	"多分"	"副詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"、"	"、"	"記号-読点"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"カフェラテ"	"カフェラテ"	"名詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"を"	"を"	"助詞-格助詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"飲ん"	"飲む"	"動詞-自立"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"だ"	"だ"	"助動詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"だけ"	"だけ"	"助詞-副助詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"で"	"で"	"助詞-格助詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"ごろごろ"	"ごろごろ"	"名詞-サ変接続"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"し"	"する"	"動詞-自立"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"て"	"て"	"助詞-接続助詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"しまう"	"しまう"	"動詞-非自立"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"今"	"今"	"名詞-副詞可能"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"の"	"の"	"助詞-連体化"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"私"	"私"	"名詞-代名詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"の"	"の"	"助詞-連体化"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"おなか"	"おなか"	"名詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"さん"	"さん"	"名詞-接尾-人名"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"は"	"は"	"助詞-係助詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"彼ら"	"彼ら"	"名詞-代名詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"を"	"を"	"助詞-格助詞-一般"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"拒否"	"拒否"	"名詞-サ変接続"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"する"	"する"	"動詞-自立"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"だろ"	"だ"	"助動詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"う"	"う"	"助動詞"
"ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…"	184	"…"	"…"	"記号-一般"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"あ"	"あ"	"感動詞"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"、"	"、"	"記号-読点"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"お"	"お"	"接頭詞-名詞接続"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"寿司"	"寿司"	"名詞-一般"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"も"	"も"	"助詞-係助詞"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"いい"	"いい"	"形容詞-自立"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"なぁ"	"なぁ"	"助詞-終助詞"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"。"	"。"	"記号-句点"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"("	"("	"記号-一般"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"生"	"生"	"名詞-接尾-一般"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"もの"	"もの"	"名詞-非自立-一般"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"か"	"か"	"助詞-副助詞／並立助詞／終助詞"
"あ、お寿司もいいなぁ。(生ものか…)"	185	"…"	"…"	"記号-一般"
"あ、お寿司もいいなぁ。(生ものか…)"	185	")"	")"	"記号-一般"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"部屋"	"部屋"	"名詞-一般"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"の"	"の"	"助詞-連体化"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"暖房"	"暖房"	"名詞-サ変接続"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"が"	"が"	"助詞-格助詞-一般"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"全然"	"全然"	"副詞-助詞類接続"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"効か"	"効く"	"動詞-自立"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"なく"	"ない"	"助動詞"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"て"	"て"	"助詞-接続助詞"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"寒い"	"寒い"	"形容詞-自立"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"。"	"。"	"記号-句点"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"28"	"28"	"名詞-数"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"℃"	"℃"	"記号-一般"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"に"	"に"	"助詞-格助詞-一般"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"設定"	"設定"	"名詞-サ変接続"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"し"	"する"	"動詞-自立"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"てる"	"てる"	"動詞-非自立"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"のに"	"のに"	"助詞-接続助詞"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"…"	"…"	"記号-一般"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"省エネ"	"省エネ"	"名詞-一般"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"の"	"の"	"助詞-連体化"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"夏"	"夏"	"名詞-一般"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"か"	"か"	"助詞-副助詞／並立助詞／終助詞"
"部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。"	186	"。"	"。"	"記号-句点"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	"OGG"	"OGG"	"名詞-固有名詞-組織"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	","	","	"記号-一般"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	"KBB"	"KBB"	"名詞-一般"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	"おなか"	"おなか"	"名詞-一般"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	"ゴロゴロ"	"ゴロゴロ"	"副詞-助詞類接続"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	"、"	"、"	"記号-読点"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	"顔"	"顔"	"名詞-一般"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	"ぶっ"	"ぶっ"	"接頭詞-動詞接続"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	"つぶ"	"つぶ"	"名詞-一般"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	"つ"	"つ"	"助動詞"
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。"	187	"。"	"。"	"記号-句点"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"「"	"「"	"記号-括弧開"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"ツレ"	"ツレ"	"名詞-一般"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"が"	"が"	"助詞-格助詞-一般"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"うつ"	"うつ"	"名詞-一般"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"に"	"に"	"助詞-格助詞-一般"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"なり"	"なる"	"動詞-自立"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"まし"	"ます"	"助動詞"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"て"	"て"	"助詞-接続助詞"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"」"	"」"	"記号-括弧閉"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"終わっ"	"終わる"	"動詞-自立"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"た"	"た"	"助動詞"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"。"	"。"	"記号-句点"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"目"	"目"	"名詞-一般"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"が"	"が"	"助詞-格助詞-一般"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"いたい"	"いたい"	"形容詞-自立"
"「ツレがうつになりまして」終わった。目がいたい。"	188	"。"	"。"	"記号-句点"
"誰か、明日の夜、焼き肉いこう。おなか治ってたら…"	189	"誰"	"誰"	"名詞-代名詞-一般"
"誰か、明日の夜、焼き肉いこう。おなか治ってたら…"	189	"か"	"か"	"助詞-副助詞／並立助詞／終助詞"
"誰か、明日の夜、焼き肉いこう。おなか治ってたら…"	189	"、"	"、"	"記号-読点"
